Recommendation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema.org - Google Dataset Discovery ,Resource Title,Abstract,Online Resource,Keyword,Author / Originator,Distribution Format,Resource Type,Resource Version,Temporal Extent,Spatial Extent,Resource Citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JATS for Reuse Authors,Originating Organization,Originating Organization Identifier,Country,Responsible Party Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JATS for Reuse Data,Cited Resource Title,Publication Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad-Package,Resource Type,Metadata Access Constraints,Author,Resource Creation/Revision Date,Publication Date,Resource Title,Resource Identifier,Keyword,Parent Identifier,Related Resource Identifier,Abstract,Taxonomic Extent,Spatial Extent,Temporal Extent,Related Resource Identifier,Resource on-line Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad-File,Resource Type,Metadata Access Constraints,Author,Resource Title,Resource Identifier,Rights,Keyword,Resource Creation/Revision Date,Publication Date,Resource Format,Transfer Size,Lineage Statement,Parent Identifier,Abstract,Taxonomic Extent,Spatial Extent,Temporal Extent,Embargo Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEDA_Discovery,Author / Originator,Publisher,Publication Date,Resource Type,Metadata Identifier,Metadata Modified Date,Author / Originator,Role,Resource Identifier,Keyword Type,Responsibility,Data Dates,Abstract,Project Sponsor,Sponsor Project Identifier,Responsible Party Identifier,Publication Date,Keyword Vocabulary,Keyword Ontology Citation,Resource Language,Related Resource Citation,Entity Type Definition,Resource Version,Rights,Bounding Polygon,Online Resource Function,Binding,Distribution Format,First Name,Last Name,Phone Type,Resource Identifier Type,Author / Originator,Contributor Role,Date Type,Related Resource Identifier,Transfer Size,Resource Format,Bounding Box,Place Keyword,URL,Ordering Instructions,Organization Name,Responsible Party Identifier Type,Email,Phone,,,,,,,,,,,,,,,
HCLS-Summary_Discovery,Resource Type,Resource Title,Abstract,Publisher,Resource Access Constraints,Online Resource,Resource Update Frequency,Online Resource,Resource Identifier,Cited Resource Alternate Title,Resource Creation Date,Contributor Name,Theme Keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLS-Version_Discovery,Resource Type,Resource Title,Abstract,Publisher,Resource Access Constraints,Author / Originator,Resource Version,Online Resource,Resource Creation Date,Publication Date,Resource Language,Source Citation,Online Resource,Resource Identifier,Cited Resource Alternate Title,Resource Creation Date,Contributor Name,Theme Keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLS-Distribution_Discovery,Resource Type,Resource Title,Abstract,Publisher,Resource Access Constraints,Author / Originator,Resource Format,Online Resource,Resource Creation Date,Publication Date,Resource Language,Resource Version,Source Citation,Online Resource,Resource Identifier,Cited Resource Alternate Title,Resource Creation Date,Contributor Name,Theme Keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSDL_Access,Types,Interface,Service Operation Name,Binding,Service Location,Service,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIF_Discovery,Metadata Identifier,Resource Title,Keyword,Topic Category,Distribution Contact,Abstract,Metadata Standard Citation,Metadata Standard Version,Resource Citation,Resource Contact,Online Resource,Instrument,Platform,Temporal Extent,Paleo Temporal Coverage,Bounding Box,Place Keyword,Spatial Resolution,Temporal Resolution,Resource Title,Quality Statement,Resource Access Constraints,Resource Use Constraints,Media,Transfer Size,Resource Format,Resource Language,Resource Status,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
